text příjmení;četnost
MERTA;1160
OLÁH;1160
ČERNOCH;1157
KUKLA;1155
KALOUS;1153
FENCL;1152
JUNEK;1150
PETRÁK;1142
MATYÁŠ;1141
KARLÍK;1140
KUDLÁČEK;1138
VOREL;1136
SKŘIVÁNEK;1134
JAŠEK;1132
TOMEČEK;1132
HOUŠKA;1130
DOKOUPIL;1128
MEDEK;1127
MICHAL;1125
HOLEC;1124
ANDRLE;1121
KOVÁŘÍK;1121
DOBROVOLNÝ;1119
KOPEČNÝ;1119
JAKEŠ;1117
MIČKA;1114
SKALA;1107
BOUŠKA;1105
REZEK;1105
SCHEJBAL;1097
SMOLA;1096
PECHÁČEK;1095
TEPLÝ;1095
PAVEL;1094
BOUDA;1093
JANÁČEK;1089
VOLEK;1089
HRADECKÝ;1087
RYBA;1087
MLČOCH;1085
MARŠÍK;1083
MIKO;1083
STROUHAL;1083
BREJCHA;1081
ŠTEFEK;1081
PECKA;1078
PETRŮ;1077
ZAVŘEL;1076
SKÁCEL;1074
KOUKAL;1071
DOLEJŠÍ;1067
ČADA;1066
HAJNÝ;1066
MACHAČ;1065
HEJL;1064
LOUDA;1064
RUDOLF;1064
ORSÁG;1061
KOTLÁR;1060
TŘÍSKA;1060
HANUS;1059
KAZDA;1058
ALBRECHT;1057
BERGER;1057
PEKAŘ;1057
JIRÁK;1056
SMOLKA;1055
MOTYČKA;1052
FOŘT;1051
NAJMAN;1051
KRČMÁŘ;1050
SLANINA;1049
PEŠTA;1047
HEJDA;1046
CIHLÁŘ;1045
HRABAL;1044
ODEHNAL;1044
NEUBAUER;1043
ŘEHOŘ;1043
LACKO;1042
JANČA;1037
TOMEŠ;1035
CHVOJKA;1034
PEŘINA;1034
VRABEC;1034
VOŘÍŠEK;1033
AMBROŽ;1031
NAGY;1031
KOPEČEK;1030
ZOUHAR;1028
HEJDUK;1021
KYSELA;1019
PAŠEK;1017
CHVÁTAL;1016
KLOUDA;1016
LEBEDA;1015
VEJVODA;1014
FIEDLER;1011
KADEŘÁBEK;1011
HARTMAN;1007
ŠANDA;1007
HOFFMANN;1006
SADÍLEK;1005
MÁCHA;1003
SUCHOMEL;1002
SCHMIDT;1001
MACHÁLEK;1000
SKOPAL;1000
MAŇÁK;999
ULRICH;999
DOUBRAVA;996
ŠLECHTA;995
KASAL;994
STÁREK;993
ŠIROKÝ;992
RAK;991
MYŠKA;990
POLANSKÝ;990
HORŇÁK;989
ŠVANDA;989
KLEČKA;987
TÓTH;987
FORMAN;984
JIROUŠEK;984
MLEJNEK;982
PRÁŠEK;982
SEKANINA;982
BITTNER;978
KOMÍNEK;976
MICHALEC;976
PAVLAS;971
FANTA;970
KORBEL;968
HRBÁČEK;967
HANZL;966
ŠEDA;966
POHL;963
HUML;960
PAPEŽ;958
RYBÁŘ;958
PALEČEK;956
BURIÁNEK;954
DROZD;954
STOKLASA;953
ZOUBEK;952
ČERNOHORSKÝ;949
VÁCLAVEK;948
BEČVÁŘ;947
HOLOUBEK;945
VORÁČEK;944
BARTŮNĚK;943
PÍCHA;941
SLOVÁČEK;939
ZÁBRANSKÝ;939
FLORIÁN;936
MATĚJÍČEK;935
KURKA;934
HORSKÝ;933
MLÁDEK;933
KALOUSEK;931
PEROUTKA;929
BOHÁČEK;927
HORNÍK;927
ŠIMÁČEK;927
ONDRA;926
BOUČEK;923
PERNICA;922
KAŇKA;921
BALOUN;917
WEISS;917
BERKY;913
JÁNSKÝ;913
MAYER;913
JANATA;909
VOJTEK;909
ROZSYPAL;908
SKOŘEPA;907
ŠAŠEK;907
SLADKÝ;906
ZAHRÁDKA;906
ŠÍPEK;905
BERNARD;904
FUCHS;904
PIVOŇKA;904
JANŮ;903
KUNEŠ;902
KOSINA;901
PROŠEK;901
MIKA;900
TVRDÝ;899
ŠENK;898
ŠPLÍCHAL;896
VORLÍČEK;892
VYSLOUŽIL;892
KROPÁČEK;891
MICHALÍK;891
PATOČKA;891
PÍŠA;891
KONÍČEK;890
ZÁLEŠÁK;890
HUŠEK;889
KULHAVÝ;889
ROUBAL;888
ŠIMÁNEK;888
