text příjmení;četnost
FEDOROVÁ;12
GANBAATAR;12
GODLOVÁ;12
HAMOR;12
HANUSOVÁ;12
HANUŠOVÁ;12
HAVLOVÁ;12
HAYNALIY;12
HLOUŠKOVÁ;12
HOANG NGOC;12
HORŇÁKOVÁ;12
HRYTSAK;12
HUSÁKOVÁ;12
CHARVÁTOVÁ;12
CHOMOVÁ;12
CHOREY;12
CHORNA;12
IHNATYUK;12
IVANOVÁ;12
IVASYUK;12
JANČOVÁ;12
JARKOVÁ;12
JÁNOŠÍKOVÁ;12
JEŘÁBKOVÁ;12
JOHNSON;12
KACHUR;12
KARAPETYAN;12
KARIMOVA;12
KARPENKO;12
KHOLOD;12
KIEU;12
KIRVEJOVÁ;12
KMEŤOVÁ;12
KOLESNYK;12
KOVALČÍKOVÁ;12
KREHUL;12
KREJČOVÁ;12
KUBALOVÁ;12
KUCHTOVÁ;12
KUPCOVÁ;12
KUZIV;12
KUZMYK;12
LAM;12
LAZAREVA;12
LENO;12
LEŠKOVÁ;12
LYASHENKO;12
LYASHKO;12
MADYAR;12
MAKAR;12
MARINOVA;12
MASLOVA;12
MATOLA;12
MATSKIV;12
MKRTCHYAN;12
MUSHYNSKA;12
MYKHAYLOVA;12
MYKYTYUK;12
NEHRYA;12
NEUMANNOVÁ;12
NGUYEN MAI;12
NGUYEN THI HUONG;12
NGUYEN THI MY;12
NGUYEN THI VAN;12
NIKIFOROVA;12
NIKOLAYEVA;12
OHAR;12
PEC;12
PHAM THI PHUONG;12
PHAM THUY;12
PITSUR;12
PIVOŇKOVÁ;12
PLOTNIKOVA;12
PRODANETS;12
PYLYP;12
PYLYPETS;12
REZKOVÁ;12
ROMANOVÁ;12
ROTARU;12
RUDA;12
RYBÁROVÁ;12
ŘEZNÍČKOVÁ;12
SEMKIV;12
SHPAK;12
SCHNEIDER;12
SLOVÁKOVÁ;12
SMRČKOVÁ;12
SMUTNÁ;12
SOROKA;12
SOTÁKOVÁ;12
SPIRIDONOVA;12
STAN;12
STEFANOVA;12
SYTAR;12
SZABÓOVÁ;12
ŠČUKOVÁ;12
ŠTEFKOVÁ;12
TESAŘOVÁ;12
TOMIOVÁ;12
TRAN THI TUYET;12
TRETYAKOVA;12
TYMCHUK;12
UHROVÁ;12
UKHAL;12
VASYLYEVA;12
VATRALA;12
VÁCLAVÍKOVÁ;12
VESELOVSKÁ;12
VLASYUK;12
VU PHUONG;12
ZHMURKO;12
ZHURAVLEVA;12
ZVARYCH;12
ALB;11
ALEXANDROVA;11
AVETISYAN;11
BAATAR;11
BALOH;11
BANGOVÁ;11
BÍLKOVÁ;11
BOCHKOR;11
BONDAREVA;11
BRANA;11
BUI THI KIM;11
BUKOVETSKA;11
BURDA;11
BURDYUKH;11
DANG THI THU;11
DEMIDOVA;11
DIDYK;11
DMYTRUK;11
DO THI THU;11
DOANOVÁ;11
DOBRUNYK;11
DOCHYNETS;11
DORDYAY;11
DROZDOVÁ;11
DUDÁŠOVÁ;11
DYACHENKO;11
DYKA;11
DZYUBA;11
ENKHTAIVAN;11
FEČOVÁ;11
FEDAK;11
FEDORYSHYN;11
FEDURTSO;11
FEYER;11
FU;11
GÁLIKOVÁ;11
GIŇOVÁ;11
GJONAJ;11
GLUSHKO;11
GUPTA;11
GUSEVA;11
HALYTSYA;11
HARASTEY;11
HARASYM;11
HAVELKOVÁ;11
HAVRÁNKOVÁ;11
HE;11
HOFFMANNOVÁ;11
HOLÁ;11
HOLÍKOVÁ;11
HONG;11
HRABAR;11
HRICKOVÁ;11
HRICOVÁ;11
HRYADIL;11
HRYS;11
CHENDEY;11
CHERNOVA;11
CHERNYCHKO;11
ILYASOVA;11
ISHCHENKO;11
IVANYK;11
JANKOVIČOVÁ;11
JINDROVÁ;11
JON;11
JURKOVÁ;11
KHYMYNETS;11
KOČKOVÁ;11
KOHÚTOVÁ;11
KONDRATYUK;11
KONONENKO;11
KOPŘIVOVÁ;11
KOPYN;11
KOROTKOVA;11
KOSHILKA;11
KOSTAN;11
KOSTKOVÁ;11
KOTLAN;11
KOZLOVÁ;11
KOZUB;11
KRETS;11
KRUK;11
KRYZHANIVSKA;11
KUCHERENKO;11
KYRYK;11
LE THI HONG;11
LE THI NGOC;11
LE THI THUY;11
LUKEŠOVÁ;11
MACUROVÁ;11
MAKSYMIV;11
MARKO;11
MARŠÁLKOVÁ;11
MARTYNYUK;11
MILLER;11
MOLDOVAN;11
MOSKALENKO;11
MOVCHAN;11
MYKYTA;11
NEDVĚDOVÁ;11
NIKOLAEVA;11
OMELCHENKO;11
ORAČKOVÁ;11
ORSAH;11
OSTAPYUK;11
OVCHINNIKOVA;11
PASICHNYK;11
PAVLOVYCH;11
PEROUTKOVÁ;11
PETERKOVÁ;11
PETRUK;11
PETRYSHYN;11
PHAM NGOC;11
POKOVBA;11
POLIAKOVÁ;11
POTAPOVA;11
PROKEŠOVÁ;11
PROKHOROVA;11
PROKOP;11
PROKOPENKO;11
PRYKHODKO;11
PŘIBYLOVÁ;11
PYLYPCHUK;11
RADOVÁ;11
RESHETAR;11
ROTH;11
SABOV;11
SABOVÁ;11
SAVKO;11
SEMCHUK;11
SHAFAR;11
SHELEVER;11
SHETELYA;11
SCHNEIDEROVÁ;11
SKÁLOVÁ;11
SLANINOVÁ;11
SLEZÁKOVÁ;11
SOCHOROVÁ;11
STETS;11
STETSENKO;11
STUDENÁ;11
SURMAJOVÁ;11
SYDORENKO;11
ŠAFRÁNKOVÁ;11
ŠARKÖZIOVÁ;11
ŠEBESTOVÁ;11
ŠIMOVÁ;11
ŠRÁMKOVÁ;11
ŠTEFANOVÁ;11
TABORSCHI;11
TAFIY;11
TAFIYCHUK;11
TARASENKO;11
THAN THI;11
TIMOFEEVA;11
TRNKOVÁ;11
TROJANOVÁ;11
TSELYCH;11
TSERENDORJ;11
TUMURBAATAR;11
TURCAN;11
TYMOSHCHUK;11
TYSHCHENKO;11
URSTA;11
VARYVODA;11
VASYLYK;11
VAŠÍČKOVÁ;11
VAYDA;11
VOROBYOVA;11
VORONINA;11
WEISSOVÁ;11
YATSENKO;11
YOVDIY;11
YURKEVYCH;11
ZELENKO;11
ZUBACH;11
ABRAHÁMOVÁ;10
AFANASYEVA;10
ANDRÁŠOVÁ;10
ANDRUSIV;10
ANGELOVIČOVÁ;10
ANTALOVÁ;10
ANTONYUK;10
ARDELAN;10
BADARCH;10
BANYAS;10
BARNYCH;10
BARTKOVÁ;10
BASARAB;10
BATJARGAL;10
BÁLINTOVÁ;10
BERÁNKOVÁ;10
BESPALOVA;10
BOBAL;10
BOBRUSHKO;10
BOBYK;10
BONDARCHUK;10
BORYSOVA;10
BOTOŠOVÁ;10
BRABCOVÁ;10
BŘEZINOVÁ;10
BUROVA;10
BYAMBAA;10
COTVA;10
CRES;10
DERBAK;10
DIMOVA;10
DIVIŠOVÁ;10
DO THU;10
DOLEJŠOVÁ;10
DUDASH;10
DUDNYK;10
DYAKIV;10
EFIMOVA;10
FECKOVÁ;10
FEKOVÁ;10
FILIMONOVA;10
FOLTÝNOVÁ;10
FUTKO;10
