text jména;četnost
FELICITA;34
GRAŻYNA;34
HANA MARIE;34
HELEN;34
KARÍNA;34
LUCIANA;34
MAR YANA;34
MARIETTA;34
MARLEN;34
MIRELA;34
NICOLETTA;34
PRAVOMILA;34
ROSA;34
SALOME;34
SOFIJA;34
THI BINH;34
ALOISIA;33
ANETTE;33
CECYLIA;33
DAŠENKA;33
GENOVEFA;33
HANNAH;33
HEIDRUN;33
JUDITH;33
JUSTYNA;33
LESJA;33
LIDA;33
LISA;33
MATHILDA;33
MILA;33
NHI;33
SLAVICA;33
STÁŇA;33
THANH THUY;33
THI;33
THI TAM;33
TUYEN;33
ULJANA;33
VLADA;33
ALEVTINA;32
CUC;32
HUYEN TRANG;32
JULIE ANNA;32
KATINA;32
KORNÉLIE;32
NATHALIA;32
NIKÉ;32
OLEXANDRA;32
RÓZA;32
ADELAIDA;31
AKSANA;31
ANNIKA;31
BOGUMILA;31
BRANKA;31
CORNELIA;31
DAŇA;31
ELKE;31
GEORGIA;31
HAI YEN;31
HENRIETTA;31
HOAN;31
CHRISULA;31
IULIIA;31
JADRANKA;31
JOLANDA;31
KHANH LINH;31
LAN ANH;31
LUDIŠE;31
LUONG;31
LYUBOMYRA;31
MADELEINE;31
MÁŘÍ MAGDALENA;31
OLDŘICHA;31
ROSANA;31
SILVANA;31
VIORICA;31
VIVIANA;31
ALESSANDRA;30
BERNARDETA;30
ELIZABETA;30
ELZA;30
GABRIELE;30
HOAI;30
ILEANA;30
JESSIKA;30
JÓZEFA;30
KATHERINE;30
KVĚTOMILA;30
LIOUDMILA;30
LOTA;30
LUDISLAVA;30
MARIE-ANNA;30
MARITA;30
MARÍNA;30
MILINA;30
NEVENKA;30
ROKSOLANA;30
SABÍNA;30
SERAFÍNA;30
THANH HUONG;30
THI HAI;30
THI THU TRANG;30
VALIANTSINA;30
DALIBORA;29
DOBRUŠE;29
EDYTA;29
FRIDA;29
INESSA;29
JANE;29
KAROLA;29
LOLA;29
LUBA;29
MARICA;29
MICHELE;29
MINH ANH;29
OTA;29
THI NGOC;29
THI THAO;29
BERNADETTA;28
DIMITRA;28
ELŻBIETA;28
FREDERIKA;28
HAU;28
IVONNA;28
JANUŠE;28
LIEU;28
LUBĚNA;28
MIRONA;28
NADINE;28
PIROŠKA;28
RIMMA;28
TARA;28
TEREZA ANNA;28
THI HAI YEN;28
THI MINH;28
THI THANH THUY;28
THI VAN ANH;28
THOM;28
TINH;28
TRINH;28
ANIKÓ;27
ANŽELIKA;27
ARANA;27
BARBORA ANNA;27
ELMIRA;27
CHRISTIANA;27
IRMTRAUD;27
IZABELLA;27
JASNUŠKA;27
KERSTIN;27
LUCJA;27
LUIZA;27
LUMÍRA;27
MAYYA;27
NADJA;27
ODETA;27
RENA;27
ROSITA;27
THAM;27
THU HIEN;27
VALTRAUDA;27
BIRGIT;26
BOGUSLAWA;26
CELESTÝNA;26
DANIELLE;26
DAO;26
DARIJA;26
ELLI;26
ERDENECHIMEG;26
CHAU;26
CHRISTIANE;26
INÉZ;26
JASMINE;26
KAROLÍNA ANNA;26
KETRIN;26
KLOTYLDA;26
LUĎA;26
MARIJANA;26
MARJANA;26
MICHALINA;26
NIKOLINA;26
ORNELA;26
RAJA;26
ROSALINDA;26
SAMIRA;26
SHARON;26
SNEŽANA;26
STEPANIYA;26
SUZANNE;26
THI THU HUYEN;26
VÍTA;26
ANNA KATEŘINA;25
BARUNKA;25
BEDŘICHA;25
BENEDIKTA;25
BRANISLAVA;25
DANIJELA;25
ELEFTERIA;25
ELIŠKA MARIE;25
FELICIE;25
JENKA;25
JORGA;25
KHANH;25
LADĚNA;25
LEONARDA;25
LIBORA;25
MAR'YANA;25
NADZEYA;25
NICOLETA;25
NINEL;25
OYUNCHIMEG;25
RAMONA;25
THANH HUYEN;25
THI DUYEN;25
UYANGA;25
VICTORIE;25
VIKTORIE ANNA;25
VIKTORYIA;25
VLADYSLAVA;25
AMIRA;24
ANASTASSIYA;24
ANDĚLKA;24
ANNIE;24
DALENA;24
HA MY;24
CHUNG;24
INGEBORGA;24
JOLANKA;24
KATHRIN;24
KELLY;24
LILLI;24
MAI ANH;24
MARGARETE;24
MARYIA;24
NARINE;24
NEONILA;24
NEVENA;24
OLESJA;24
PAOLA;24
PIROSKA;24
RAISSA;24
THI LAN ANH;24
THI NGUYET;24
THI QUYEN;24
THU HANG;24
THU HUYEN;24
THUY TRANG;24
TRA MY;24
ULRIKE;24
WENDY;24
XÉNIA;24
YANINA;24
YASMIN;24
ANSELMA;23
BILJANA;23
BOJANA;23
CAMILLA;23
CYRILLA;23
DIJANA;23
DOROTKA;23
ELISABET;23
ELISABETTA;23
EMILIYA;23
GLORIA;23
HANELORE;23
HAO;23
HASMIK;23
HERMA;23
IVICA;23
JING;23
KRISTÝNA ANNA;23
LUDOSLAVA;23
LUISE;23
OLESEA;23
REBECA;23
SVATOMÍRA;23
TAMAR;23
TAŇA;23
THI THAM;23
THI THOM;23
THI THU THUY;23
THU THUY;23
UTE;23
ŽIVA;23
ANAHIT;22
ANI;22
APOLÓNIA;22
BRONISLAWA;22
DARINKA;22
DARYNA;22
DUŠANKA;22
ENKHTUYA;22
GAYANE;22
GERTRUDE;22
HELA;22
HONG NHUNG;22
ILENA;22
INESA;22
ISOLDE;22
IULIA;22
JARMILKA;22
JORDANKA;22
JORIKA;22
KAMILLA;22
KATALIN;22
LUSINE;22
MALIKA;22
OLINKA;22
PARASKA;22
RODICA;22
TEREZA MARIE;22
TEŤANA;22
THI KIM ANH;22
THI KIM DUNG;22
THI KIM OANH;22
THI TRANG;22
ŽEŇA;22
ALEXA;21
ALFREDA;21
ANNALIESE;21
ARMINE;21
AZRA;21
BELINDA;21
CELINA;21
DANIELLA;21
GEORGINA;21
CHINH;21
IBOJA;21
ILDIKO;21
ILJANA;21
ILKA;21
INGEBURG;21
IRAIDA;21
IVUŠE;21
JELENKA;21
KALYNA;21
KATJA;21
KATRINA;21
LI;21
LIÁNA;21
LOI;21
LUCIE ANNA;21
LUYEN;21
MARGARET;21
MARLENE;21
MARY;21
MÁRTA;21
MELITTA;21
NATALIJA VASYLIVNA;21
PARASKIEVA;21
QUY;21
ROZVITA;21
SELINA;21
SERAFINA;21
SIEGLINDA;21
SUZAN;21
